Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Author Keywords,Index Keywords,Editors,Publisher,ISSN,ISBN,CODEN,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Bursuc, S.; Drăgan, C.-C.; Kremer, S.","Bursuc, Sergiu (23391735200); Drăgan, Constantin Cătălin (35317457700); Kremer, Steve (57203194613)",23391735200; 35317457700; 57203194613,"Private votes on untrusted platforms: Models, attacks and provable scheme",2019,,,,8806713,606,620,0,10.1109/EuroSP.2019.00050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072031024&doi=10.1109%2FEuroSP.2019.00050&partnerID=40&md5=e09821a8ddec710bc9f3f6b68ce0f3d3,"Modern e-voting systems deploy cryptographic protocols on a complex infrastructure involving different computing platforms and agents. It is crucial to have appropriate specification and evaluation methods to perform rigorous analysis of such systems, taking into account the corruption and computational capabilities of a potential attacker. In particular, the platform used for voting may be corrupted, e.g. infected by malware, and we need to ensure privacy and integrity of votes even in that case. We propose a new definition of vote privacy, formalized as a computational indistinguishability game, that allows to take into account such refined attacker models; we show that the definition captures both known and novel attacks against several voting schemes; and we propose a scheme that is provably secure in this setting. We moreover formalize and machine-check the proof in the EasyCrypt theorem prover. © 2020 Elsevier B.V., All rights reserved.",computer aided security proofs; cryptographic protocols; electronic voting; security models,Computation theory; Cryptography; Malware; Complex infrastructures; Computational capability; Computing platform; Cryptographic protocols; Evaluation methods; Indistinguishability; Security model; Security proofs; Electronic voting,,Institute of Electrical and Electronics Engineers Inc.,,9781728111476,,English,"Proc. - IEEE Eur. Symp. Secur. Priv., EURO S P",Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85072031024
"Vo-Cao-Thuy, L.; Cao-Minh, K.; Dang-Le-Bao, C.; Nguyen, T.A.","Vo-Cao-Thuy, Linh (57209140795); Cao-Minh, Khoi (57209138557); Dang-Le-Bao, Chuong (57200536156); Nguyen, Tuan Anh (7404370641)",57209140795; 57209138557; 57200536156; 7404370641,Votereum: An ethereum-based e-voting system,2019,,,,8713661,,,0,10.1109/RIVF.2019.8713661,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066616858&doi=10.1109%2FRIVF.2019.8713661&partnerID=40&md5=6684bf5be3f24cbc3e9da5db1b586e80,"Blockchain, which is the underlying technology of the first cryptocurrency Bitcoin, has drawn a lot of global attention in recent years. Its notable characteristics of the distributed ledger, trustless system, and immutability not only makes it a disruptive innovation in the electronic payment industry but also potential solutions for other areas that require trust establishment. Electronic voting (E-voting) scheme is a use-case where all attributes of blockchain can offer a mechanism for an open, fair and universally verifiable electoral process. In this paper, we review the requirements and then propose Votereum, an E-voting system that utilizes the blockchain technology. The proposed system is empowered by Ethereum platform, including one server manages the entire system and the other handles all blockchain-related requests. The implementation is also deployed to Rinkeby testing network for evaluation on the feasibility and discussion on some security concerns, which are mentioned in the conclusion of this paper. © 2019 Elsevier B.V., All rights reserved.",Blockchain; E-voting; Ethereum; Smart contract,Blockchain; Ethereum; Voting machines; Disruptive innovations; E-voting systems; Electronic payment; Entire system; Trust establishment; Electronic voting,,Institute of Electrical and Electronics Engineers Inc.,,9781538693131,,English,RIVF - Proc.: IEEE-RIVF Int. Conf. Comput. Commun. Technol.,Conference paper,Final,,Scopus,2-s2.0-85066616858
,,,"Proceedings - 2019 4th International Conference on Internet of Things: Smart Innovation and Usages, IoT-SIU 2019",2019,,,,,,,449,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070708579&partnerID=40&md5=49ba432a290f1a665b284463714ee05d,"The proceedings contain 81 papers. The topics discussed include: securing IoT devices and securely connecting the dots using REST API and middleware; experimental study for Gurmukhi handwritten character recognition; design issues in artificial neural network (ANN); multi-feature based automated flower harvesting techniques in deep convolutional neural networking; IoT based electrical device surveillance and control system; performance analysis of 4:1 multiplexer with DTMOS technique; comparative study and analysis of wireless mesh networks on AODV and DSR; CRAIoT : concept, review and application(s) of IoT; a comparative analysis on e-voting system using blockchain; and an opinion mining for Indian Premier League using machine learning techniques. © 2019 Elsevier B.V., All rights reserved.",,,,Institute of Electrical and Electronics Engineers Inc.,,9781728112534,,English,"Proc. - Int. Conf. Internet Things: Smart Innov. Usages, IoT-SIU",Conference review,Final,,Scopus,2-s2.0-85070708579
,,,"13th International Conference on Network and System Security, NSS 2019",2019,Lecture Notes in Computer Science,11928 LNCS,,,,,728,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077014861&partnerID=40&md5=e5298a3d676c3c810a373f5d0fc7a928,"The proceedings contain 47 papers. The special focus in this conference is on Network and System Security. The topics include: Towards Secure Open Banking Architecture: An Evaluation with OWASP; outGene: Detecting Undefined Network Attacks with Time Stretching and Genetic Zooms; OVERSCAN: OAuth 2.0 Scanner for Missing Parameters; laT-Voting: Traceable Anonymous E-Voting on Blockchain; Distributed Secure Storage System Based on Blockchain and TPA; SSHTDNS: A Secure, Scalable and High-Throughput Domain Name System via Blockchain Technique; A Practical Dynamic Enhanced BFT Protocol; pre-adjustment Based Anti-collusion Mechanism for Audio Signals; detecting Intruders by User File Access Patterns; unsupervised Insider Detection Through Neural Feature Learning and Model Optimisation; blockchain-Enabled Privacy-Preserving Internet of Vehicles: Decentralized and Reputation-Based Network Architecture; privacy Preserving Machine Learning with Limited Information Leakage; blockchain Based Owner-Controlled Secure Software Updates for Resource-Constrained IoT; Sequential Aggregate MACs with Detecting Functionality Revisited; a Novel Approach for Traffic Anomaly Detection in Power Distributed Control System and Substation System; EEG-Based Person Authentication with Variational Universal Background Model; an Efficient Vulnerability Detection Model for Ethereum Smart Contracts; a Comparative Study on Network Traffic Clustering; tell Them from Me: An Encrypted Application Profiler; Indoor Security Localization Algorithm Based on Location Discrimination Ability of AP; dynamic Searchable Symmetric Encryption with Forward and Backward Privacy: A Survey; gnocchi: Multiplexed Payment Channels for Cryptocurrencies; difficulty of Decentralized Structure Due to Rational User Behavior on Blockchain; A DNS Tunneling Detection Method Based on Deep Learning Models to Prevent Data Exfiltration; Cryptanalysis of Raindrop and FBC; attribute-Based Encryption with Publicly Verifiable Outsourced Decryption. © 2019 Elsevier B.V., All rights reserved.",,,"Liu, J.K.; Huang, X.",Springer,16113349; 03029743,9789819698936; 9789819698042; 9789819698110; 9789819698905; 9789819512324; 9783032026019; 9783032008909; 9783031915802; 9789819698141; 9783031984136,,English,Lect. Notes Comput. Sci.,Conference review,Final,,Scopus,2-s2.0-85077014861
"Gong, B.; Lu, X.; Lau, L.W.; Au, M.H.","Gong, Borui (57211852985); Lu, Xingye (57198505432); Lau, Wang Fat (57211983822); Au, Manho Ho Allen (13611295300)",57211852985; 57198505432; 57211983822; 13611295300,Blockchain-based threshold electronic voting system,2019,Communications in Computer and Information Science,1095 CCIS,,,238,250,0,10.1007/978-981-15-0758-8_18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076199233&doi=10.1007%2F978-981-15-0758-8_18&partnerID=40&md5=b35f75912ea782ada2a42a3a5d94caa8,"In this paper, we propose a secure blockchain-based electronic voting (e-voting) system with distributed authorities. Specifically, we employ threshold blind signature to distribute trust for registration; and threshold ElGamal decryption to distribute trust in ballots tallying. Combining these techniques with decentralized blockchain technology, our system can achieve verifiability, eligibility, fairness and anonymity with reduced trust. We also analyze the efficiency of our system by implementing the proposed e-voting system on a typical laptop for performance evaluation. Our system is efficient enough to be employed in practice based on the experiment results. © 2019 Elsevier B.V., All rights reserved.",Blind signature; Blockchain; Electronic voting; Threshold cryptosystem,Authentication; Big data; Blockchain; Cryptography; Data privacy; Network security; Voting machines; Blind signatures; Distributed authorities; E-voting systems; Electronic voting (e-voting) systems; Electronic voting systems; ElGamal; Threshold cryptosystems; Verifiability; Electronic voting,"Meng, W.; Furnell, S.",Springer,18650937; 18650929,9789819671748; 9789819664610; 9783032026743; 9783032008831; 9783032026712; 9789819671779; 9783031949425; 9789819666874; 9783031936968; 9783031941207,,English,Commun. Comput. Info. Sci.,Conference paper,Final,,Scopus,2-s2.0-85076199233
,,,"6th Workshop on Engineering Applications, WEA 2019",2019,Communications in Computer and Information Science,1052,,,,,775,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075674845&partnerID=40&md5=3c1deabb5df2f05f28c62edb778529aa,"The proceedings contain 64 papers. The special focus in this conference is on Workshop on Engineering Applications. The topics include: A General Local Search Pareto Approach with Regular Criteria for Solving the Job-Shop Scheduling Problem Multi-resource Resource Flexibility with Linear Routes; a Bi-objective Model for the Humanitarian Aid Distribution Problem: Analyzing the Trade-off Between Shortage and Inventory at Risk; mixed-Integer Linear Programming Models for One-Commodity Pickup and Delivery Traveling Salesman Problems; design of Distribution Network of a Fresh Egg Producing and Commercializing Company in Colombia; modeling for the Evaluation of Public Policy Alternatives in the Supply Chain of Natural Gas in Colombia; path Tracking Control for Micro-robots with Helmholtz-Maxwell Coils Actuation; adapting the Archetype “Accidental Adversaries” in Humanitarian Operations; interval Simulator of the Glucose-Insulin System; using Text Mining Tools to Define Trends in Territorial Competitiveness Indicators; systemic Model of the Rice Chain. Plateau of Ibagué Case; simulation in the Farsite of a Forest Fire Presented in the Eastern Hills of the Town of San Cristóbal in Bogotá; areas with the Highest Use of Simulator for Health Education in Colombia; modal Analysis for a Power System Benchmark with Topological Changes; computation of Electromagnetic Fields for 220 kV Power Line in Cartagena de Indias; Battery State of Charge Estimation Error Comparison Across Different OCV-SOC Curve Approximating Methods; Evaluation of Stencil Based Algorithm Parallelization over System-on-Chip FPGA Using a High Level Synthesis Tool; a Remote Monitoring System for Charging Stations with Photovoltaic Generation; design of an Electronic Voting System Using a Blockchain Network. © 2019 Elsevier B.V., All rights reserved.",,,"Figueroa-García, J.C.; Duarte-González, M.; Jaramillo-Isaza, S.; Orjuela-Cañon, A.D.; Díaz-Gutierrez, Y.",Springer,18650937; 18650929,9789819671748; 9789819664610; 9783032026743; 9783032008831; 9783032026712; 9789819671779; 9783031949425; 9789819666874; 9783031936968; 9783031941207,,English,Commun. Comput. Info. Sci.,Conference review,Final,,Scopus,2-s2.0-85075674845
"Esgin, M.F.; Steinfeld, R.; Liu, J.K.; Liu, D.","Esgin, Muhammed F. (56453442000); Steinfeld, Ron (7004856479); Liu, Joseph K. (8842403500); Liu, Dongxi (35208475800)",56453442000; 7004856479; 8842403500; 35208475800,Lattice-Based Zero-Knowledge Proofs: New Techniques for Shorter and Faster Constructions and Applications,2019,Lecture Notes in Computer Science,11692 LNCS,,,115,146,0,10.1007/978-3-030-26948-7_5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071769450&doi=10.1007%2F978-3-030-26948-7_5&partnerID=40&md5=40f890850db35cd8df2c44c6766edbf3,"We devise new techniques for design and analysis of efficient lattice-based zero-knowledge proofs (ZKP). First, we introduce one-shot proof techniques for non-linear polynomial relations of degree&#x0024;&#x0024;k\ge 2&#x0024;&#x0024;, where the protocol achieves a negligible soundness error in a single execution, and thus performs significantly better in both computation and communication compared to prior protocols requiring multiple repetitions. Such proofs with degree&#x0024;&#x0024;k\ge 2&#x0024;&#x0024; have been crucial ingredients for important privacy-preserving protocols in the discrete logarithm setting, such as Bulletproofs (IEEE S&P ’18) and arithmetic circuit arguments (EUROCRYPT ’16). In contrast, one-shot proofs in lattice-based cryptography have previously only been shown for the linear case (&#x0024;&#x0024;k=1&#x0024;&#x0024; ) and a very specific quadratic case (&#x0024;&#x0024;k=2&#x0024;&#x0024; ), which are obtained as a special case of our technique. Moreover, we introduce two speedup techniques for lattice-based ZKPs: a CRT-packing technique supporting “inter-slot” operations, and “NTT-friendly” tools that permit the use of fully-splitting rings. The former technique comes at almost no cost to the proof length, and the latter one barely increases it, which can be compensated for by tweaking the rejection sampling parameters while still having faster computation overall. To illustrate the utility of our techniques, we show how to use them to build efficient relaxed proofs for important relations, namely proof of commitment to bits, one-out-of-many proof, range proof and set membership proof. Despite their relaxed nature, we further show how our proof systems can be used as building blocks for advanced cryptographic tools such as ring signatures. Our ring signature achieves a dramatic improvement in length over all the existing proposals from lattices at the same security level. The computational evaluation also shows that our construction is highly likely to outperform all the relevant works in running times. Being efficient in both aspects, our ring signature is particularly suitable for both small-scale and large-scale applications such as cryptocurrencies and e-voting systems. No trusted setup is required for any of our proposals. © 2019 Elsevier B.V., All rights reserved.",CRT packing; Lattice-based cryptography; One-out-of-many proof; Range proof; Ring signature; Set membership proof; Zero-knowledge proof,Authentication; Network security; Lattice-based cryptography; One-out-of-many proof; Range proof; Ring signatures; Set membership; Zero knowledge proof; Cryptography,"Micciancio, D.; Boldyreva, A.",Springer Verlag service@springer.de,16113349; 03029743,9789819698936; 9789819698042; 9789819698110; 9789819698905; 9789819512324; 9783032026019; 9783032008909; 9783031915802; 9789819698141; 9783031984136,,English,Lect. Notes Comput. Sci.,Conference paper,Final,,Scopus,2-s2.0-85071769450
"Sharma, V.; Dhyani, D.","Sharma, Viresh (57209464541); Dhyani, Divya (57209472893)",57209464541; 57209472893,Evaluation of system reliability referring EVM and VVPAT W.R.T. its components,2019,Journal of Advanced Research in Dynamical and Control Systems,11,6 Special Issue,,1544,1547,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069500125&partnerID=40&md5=80f9072349c5343b41418fefd4e70f29,"Free and sincere voting is the moral duty and right of every citizen. Invention of Electronic Voting Machine i.e., EVM makes it easier for voters and for the government (to some parties, of course), to cast and count the votes during election. EVM proved to be more reliable than a ballot paper voting system since biometric identifiers cannot be easily misplaced, forged, or shared, so the chances of any fraud is decreased drastically. This paper focuses on evaluatingthe reliability ofan EVM and VVPAT taking into consideration its components, their arrangement and working. © 2019 Elsevier B.V., All rights reserved.",Electronic voting machine (EVM); Reliability; VVPAT,,,"Institute of Advanced Scientific Research, Inc. dheep.infotel@gmail.com",1943023X,,,English,J. Adv. Res. Dyn. Control. Syst.,Article,Final,,Scopus,2-s2.0-85069500125
"Konashevych, O.","Konashevych, Oleksii (57195490954)",57195490954,Comparative analysis of the legal concept of title rights in real estate and the technology of tokens: How can titles become tokens?,2019,Lecture Notes in Computer Science,10958 LNCS,,,339,351,0,10.1007/978-3-662-58820-8_23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063518779&doi=10.1007%2F978-3-662-58820-8_23&partnerID=40&md5=8fa738a63626531e591f0e32ecc9d272,"This paper discusses how to use blockchain tokens to represent real estate titles. Tokens on the blockchain as a technological concept is the closest solution to the legal concept of titles, because it provides for evidence of ownership and can be transferred from one address to another, while giving exclusive access to such an address to the owner. This paper contains the analysis of the concept of tokens in the context of its applicability to title rights on real estate. There is also a discussion of the outcomes of conducted interviews with professionals in the field of Computer Science, technologies, blockchain and smart contracts. Some critical mismatches were found: tokens are not able to satisfy current demand to manage title rights online. To develop a mature and sustainable electronic system, there are certain issues that need to be addressed: inheritance procedures, litigation, guardianship, delegation of rights and rights of third parties (liens and encumbrances) as well as the legal concept of bundle of rights (possession, disposition, enjoyment, etc.), which requires a strong mathematical model. During the abovementioned interviews, some weaknesses were found in the existing ideas of the use of the blockchain for real estate, mostly related to the undesirable centralization and issues with security. As the result of this research, it is obvious what needs to be developed is the concept of a high-level design of the technology, capable of managing title rights on the blockchain, which includes a three-level mechanism of (1) e-voting, which provides for a democratic implementation of governing algorithms; (2) Smart Laws, as the concept of high level “smart” algorithms that implement (by e-voting) existing laws related to property rights in a form of the program/protocol; and (3) smart contract templates which are based on the smart laws, that allow people to manage their title rights online. © 2019 Elsevier B.V., All rights reserved.",Blockchain; E-Democracy; E-Governance; E-Voting; Real estate; Smart contracts; Titles; Tokens,Blockchain; Chromium compounds; Cryptography; Laws and legislation; E-democracy; E-governance; Real estate; Titles; Tokens; Electronic voting,"Sala, M.; Eyal, I.; Pintore, F.; Bracciali, A.; Zohar, A.; Clark, J.; Teague, V.",Springer Verlag service@springer.de,16113349; 03029743,9789819698936; 9789819698042; 9789819698110; 9789819698905; 9789819512324; 9783032026019; 9783032008909; 9783031915802; 9789819698141; 9783031984136,,English,Lect. Notes Comput. Sci.,Conference paper,Final,,Scopus,2-s2.0-85063518779
,,,"22nd International Conference on Financial Cryptography and Data Security, FC 2018",2019,Lecture Notes in Computer Science,10958 LNCS,,,,,380,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063515641&partnerID=40&md5=d81608540864ec37489d9ad189d98ab9,"The proceedings contain 25 papers. The special focus in this conference is on Financial Cryptography and Data Security. The topics include: A verifiable shuffle for the GSW cryptosystem; outsourcing modular exponentiation in cryptographic web applications; voting technologies, recount methods and votes in Wisconsin and Michigan in 2016; towards everlasting privacy and efficient coercion resistance in remote electronic voting; modeling a bulletin board service based on broadcast channels with memory; verifiability of helios mixnet; verifiable sealed-bid auction on the ethereum blockchain; the scalability of trustless trust; a systematic approach to cryptocurrency fees; the game among bribers in a smart contract system; lightweight blockchain logging for data-intensive applications; proof-carrying smart contracts; comparative analysis of the legal concept of title rights in real estate and the technology of tokens: How can titles become tokens?; ghazal: Toward truly authoritative web certificates using ethereum; toward cryptocurrency lending; a wild velvet fork appears! Inclusive blockchain protocol changes in practice: (Short Paper); confidential assets; A multi-party protocol for constructing the public parameters of the Pinocchio zk-SNARK; Analysis of the Bitcoin UTXO set; hostile Blockchain Takeovers; analyzing the Bitcoin Ponzi scheme ecosystem; exploiting transaction accumulation and double spends for topology inference in Bitcoin. © 2019 Elsevier B.V., All rights reserved.",,,"Bracciali, A.; Zohar, A.; Clark, J.; Sala, M.; Eyal, I.; Teague, V.; Pintore, F.",Springer Verlag service@springer.de,16113349; 03029743,9789819698936; 9789819698042; 9789819698110; 9789819698905; 9789819512324; 9783032026019; 9783032008909; 9783031915802; 9789819698141; 9783031984136,,English,Lect. Notes Comput. Sci.,Conference review,Final,,Scopus,2-s2.0-85063515641
"Qureshi, A.; Megías, D.; Rifà-Pous, H.","Qureshi, Amna (56381990100); Megías, David (6603264598); Rifà-Pous, Helena (20436951400)",56381990100; 6603264598; 20436951400,SeVEP: Secure and Verifiable Electronic Polling System,2019,IEEE Access,7,,8636908,19266,19290,0,10.1109/ACCESS.2019.2897252,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062449644&doi=10.1109%2FACCESS.2019.2897252&partnerID=40&md5=1f869071ed9db4271317cd922a4a1892,"Electronic polling systems promise benefits to voters such as accessibility and convenience that enable them to cast their votes at any time, from any Internet-connected computing device anywhere in the world. However, unlike traditional paper-based voting systems, an e-polling system introduces several security risks such as privacy of vote, unlinkability of a voter, voter coercion, secrecy of partial election results, verifiability, and poll integrity. The authenticity of a voter is another security concern, i.e., a voter must be identified through an authentication mechanism that prevents voting of unauthorized voters or multiple voting from authorized voters. Another security concern is the manipulation of votes by an infected (e.g., virus, malware, and so on) voting device. Since the voters use their personal devices to cast votes in an unsupervised environment, a malware-hosted device could make unauthorized modifications to the voter's voting choices. Many e-voting systems have been proposed, however, to date, all these schemes either fail to provide all the required security properties or are not practically feasible on light-weight computing devices. In this paper, we present a secure and verifiable polling system, SeVEP, that employs well-known cryptographic primitives to provide vote and voter's privacy, and poll integrity, confirms the identity of voters through a multifactor authentication scheme, enables multiple voting within the allowed polling period, prevents double voting, and achieves verifiability and uncoercibility in the presence of untrusted voting device. The security, performance, and comparative analysis in terms of security properties and cryptographic costs show that SeVEP is secure, verifiable, and practical e-polling system. © 2019 Elsevier B.V., All rights reserved.",Authentication; efficiency; electronic polling; malware; security; verifiability,Authentication; Computer crime; Cryptography; Data privacy; Efficiency; Malware; Surveys; Viruses; Authentication mechanisms; Comparative analysis; Cryptographic primitives; Electronic pollings; Multi-factor authentication; security; Unauthorized modification; Verifiability; Voting machines,,Institute of Electrical and Electronics Engineers Inc.,21693536,,,English,IEEE Access,Article,Final,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-85062449644
"Marky, K.; Kulyk, O.; Renaud, K.; Volkamer, M.","Marky, Karola (57189383508); Kulyk, Oksana (56471869300); Renaud, Karen V. (57207554628); Volkamer, Melanie (56002430300)",57189383508; 56471869300; 57207554628; 56002430300,What did i really vote for? On the usability of verifiable e-voting schemes,2018,Conference on Human Factors in Computing Systems - Proceedings,2018-April,,,,,0,10.1145/3173574.3173750,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046973691&doi=10.1145%2F3173574.3173750&partnerID=40&md5=e8075a8ba1426e9958470921437fbea8,"E-voting has been embraced by a number of countries, delivering benefits in terms of efficiency and accessibility. End-to-end verifiable e-voting schemes facilitate verification of the integrity of individual votes during the election process. In particular, methods for cast-as-intended verification enable voters to confirm that their cast votes have not been manipulated by the voting client. A well-known technique for effecting cast-asintended verification is the Benaloh Challenge. The usability of this challenge is crucial because voters have to be actively engaged in the verification process. In this paper, we report on a usability evaluation of three different approaches of the Benaloh Challenge in the remote e-voting context.We performed a comparative user study with 95 participants. We conclude with a recommendation for which approaches should be provided to afford verification in real-world elections and suggest usability improvements. © 2020 Elsevier B.V., All rights reserved.","Benaloh Challenge; Cast-as-intended verifiability, usability evaluation; E-voting; End-to-end verifiability",Human engineering; Usability engineering; Benaloh Challenge; End-to-end verifiability; Real-world; Remote e-voting; Usability evaluation; Verifiability; Verification process; Voting schemes; Electronic voting,,"Association for Computing Machinery acmhelp@acm.org 2 Penn Plaza, Suite 701 New York NY 10121-0701",,1581132484; 0897913833; 9781595936424; 1581136374; 9781450346559; 9781595930026; 9781605589312; 9781450356206; 9781450310161; 9781581137033,,English,Conf Hum Fact Comput Syst Proc,Conference paper,Final,,Scopus,2-s2.0-85046973691
"Khan, K.M.; Arshad, J.; Khan, M.M.","Khan, Kashif Mehboob (57202292160); Arshad, Junaid (26029714200); Khan, Muhammad Mubashir (15623005700)",57202292160; 26029714200; 15623005700,Secure digital voting system based on blockchain technology,2018,International Journal of Electronic Government Research,14,1,,53,62,0,10.4018/IJEGR.2018010103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047764617&doi=10.4018%2FIJEGR.2018010103&partnerID=40&md5=c928dc9f4f7790623c36b1f5a735705e,"Electronic voting or e-voting has been used in varying forms since 1970s with fundamental benefits over paper-based systems such as increased efficiency and reduced errors. However, challenges remain to the achieving of wide spread adoption of such systems, especially with respect to improving their resilience against potential faults. Blockchain is a disruptive technology of the current era and promises to improve the overall resilience of e-voting systems. This article presents an effort to leverage benefits of blockchain such as cryptographic foundations and transparency to achieve an effective scheme for e-voting. The proposed scheme conforms to the fundamental requirements for e-voting schemes and achieves end-to-end verifiability. The article presents details of the proposed e-voting scheme along with its implementation using Multichain platform. The article also presents an in-depth evaluation of the scheme which successfully demonstrates its effectiveness to achieve an end-to-end verifiable e-voting scheme. © 2018 Elsevier B.V., All rights reserved.",Blockchain; E-government; E-voting; Electronic voting; Verifiable voting,Blockchain; Government data processing; Depth evaluations; Disruptive technology; E-governments; E-Voting; Electronic voting; End-to-end verifiability; Paper-based system; Verifiable voting; Voting machines,,IGI Global cust@igi-global.com,15483894; 15483886,,,English,Int. J. Electron. Gov. Res.,Article,Final,,Scopus,2-s2.0-85047764617
"Su, P.-C.; Tsai, C.-H.","Su, Pinchiang (7101815322); Tsai, Chien Hua (37027424300)",7101815322; 37027424300,New proxy blind signcryption scheme for secure multiple digital messages transmission based on elliptic curve cryptography,2017,KSII Transactions on Internet and Information Systems,11,11,,5537,5555,0,10.3837/tiis.2017.11.020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037362864&doi=10.3837%2Ftiis.2017.11.020&partnerID=40&md5=6884d7d03d183565abc3cdc4619611f5,"Having the characteristics of unlinkability, anonymity, and unforgeability, blind signatures are widely used for privacy-related applications such as electronic cash, electronic voting and electronic auction systems where to maintain the anonymity of the participants. Among these applications, the blinded message is needed for a certain purpose by which users delegate signing operation and communicate with each other in a trusted manner. This application leads to the need of proxy blind signature schemes. Proxy blind signature is an important type of cryptographic primitive to realize the properties of both blind signature and proxy signature. Over the past years, many proxy blind signature algorithms have been adopted to fulfill such task based on the discrete logarithm problem (DLP) and the elliptic curve discrete log problem (ECDLP), and most of the existing studies mainly aim to provide effective models to satisfy the security requirements concerning a single blinded message. Unlike many previous works, the proposed scheme applies the signcryption paradigm to the proxy blind signature technology for handling multiple blinded messages at a time based on elliptic curve cryptography (ECC). This innovative method thus has a higher level of security to achieve the security goals of both blind signature and proxy signature. Moreover, the evaluation results show that this proposed protocol is more efficient, consuming low communication overhead while increasing the volume of digital messages compared to the performance from other solutions. Due to these features, this design is able to be implemented in small low-power intelligent devices and very suitable and easily adoptable for e-system applications in pervasive mobile computing environment. © 2017 Elsevier B.V., All rights reserved.",Elliptic curve cryptography; Proxy blind signature; Signcryption,Authentication; Electronic document identification systems; Geometry; Network security; Public key cryptography; Communication overheads; Cryptographic primitives; Discrete logarithm problems; Elliptic curve cryptography; Elliptic Curve Cryptography(ECC); Mobile computing environment; Proxy blind signature; Signcryption; Cryptography,,"Korean Society for Internet Information 4th Floor, Unsan Building, 646-6 Yeoksam 1-Dong, Gangnam-Gu, 135-911",22881468; 19767277,,,English,KSII Trans. Internet Inf. Syst.,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85037362864
"Herold, G.; Hoffmann, M.; Klooß, M.; Ràfols, C.; Rupp, A.","Herold, Gottfried (55235678300); Hoffmann, Max (57200512525); Klooß, Michael (57208838555); Ràfols, Carla (22942264700); Rupp, Andy (23390170400)",55235678300; 57200512525; 57208838555; 22942264700; 23390170400,New techniques for structural batch verification in bilinear groups with applications to groth-sahai proofs,2017,Proceedings of the ACM Conference on Computer and Communications Security,,,,1547,1564,0,10.1145/3133956.3134068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041435972&doi=10.1145%2F3133956.3134068&partnerID=40&md5=7b25bded6a66665c03a21128647420c4,"Bilinear groups form the algebraic setting for a multitude of important cryptographic protocols including anonymous credentials, e-cash, e-voting, e-coupon, and loyalty systems. It is typical of such crypto protocols that participating parties need to repeatedly verify that certain equations over bilinear groups are satisfied, e.g., to check that computed signatures are valid, commitments can be opened, or non-interactive zero-knowledge proofs verify correctly. Depending on the form and number of equations this part can quickly become a performance bottleneck due to the costly evaluation of the bilinear map. To ease this burden on the verifier, batch verification techniques have been proposed that allow to combine and check multiple equations probabilistically using less operations than checking each equation individually. In this work, we revisit the batch verification problem and existing standard techniques. We introduce a new technique which, in contrast to previous work, enables us to fully exploit the structure of certain systems of equations. Equations of the appropriate form naturally appear in many protocols, e.g., due to the use of Groth-Sahai proofs. The beauty of our technique is that the underlying idea is pretty simple:we observe that many systems of equations can alternatively be viewed as a single equation of products of polynomials for which probabilistic polynomial identity testing following Schwartz-Zippel can be applied. Comparisons show that our approach can lead to significant improvements in terms of the number of pairing evaluations. Indeed, for the BeleniosRF voting system presented at CCS 2016, we can reduce the number of pairings (required for ballot verification) from 4k + 140, as originally reported by Chaidos et al. [19], to k +7. As our implementation and benchmarks demonstrate, this may reduce the verification runtime to only 5% to 13% of the original runtime. © 2018 Elsevier B.V., All rights reserved.",Batch Verification; Belenios; Bilinear Maps; Groth-sahai Proofs; P-Signatures; Structurepreserving Cryptography,Cryptography; Network protocols; Voting machines; Batch verification; Belenios; Bilinear map; Groth-sahai Proofs; Structure-preserving; Network security,,Association for Computing Machinery acmhelp@acm.org,15437221,9781605583006; 9781450310031; 9781605587783; 9781605587899; 9781450368315; 9781450360043; 9781605587882; 9781595938855; 9781450316507; 9781605587868,,English,Proc ACM Conf Computer Commun Secur,Conference paper,Final,,Scopus,2-s2.0-85041435972
